TaxonName,TaxonCode
Denticula subtilis,Densu01
Denticula sundaysensis,Densu02
Denticula tabellaria,Denta01
Denticula tenuis,Dente01
Diadesmis biceps,Diabi01
Diadesmis confervacea,Diaco01
Diadesmis gallica,Diaga01
Diadesmis paracontenta,Diapa01
Diadesmis pyrenaica,Diapy01
Diadesmis virginiana,Diavi01
Diatoma densicostata,Diade01
Diatoma ehrenbergii,Diaeh01
Diatoma hyemale,Diahy01
Diatoma mesodon,Diame01
Diatoma moniliformis,Diamo01
Diatoma problematica,Diapr01
Diatoma tenue,Diate01
Diatoma tenuis,Diate02
Diatoma vulgaris,Diavu01
Dickieia danseii,Dicda01
Didymosphenia geminata,Didge01
Dimeregramma nanum,Dimna01
Diploneis abscondita,Dipab01
Diploneis aestuari,Dipae01
Diploneis boldtiana,Dipbo01
Diploneis bombus,Dipbo02
Diploneis burgitensis,Dipbu01
Diploneis calcicolafrequens,Dipca01
Diploneis calcilacustris,Dipca02
Diploneis decipiens,Dipde01
Diploneis elliptica,Dipel01
Diploneis fontanella,Dipfo01
Diploneis fontium,Dipfo02
Diploneis hinziae,Diphi01
Diploneis krammeri,Dipkr01
Diploneis marginestriata,Dipma01
Diploneis minuta,Dipmi01
Diploneis modica,Dipmo01
Diploneis oblongellopsis,Dipob01
Diploneis papula,Dippa01
Diploneis parma,Dippa02
Diploneis petersenii,Dippe01
Diploneis praetermissa,Dippr01
Diploneis pseudovalis,Dipps01
Diploneis pulchra,Dippu01
Diploneis separanda,Dipse01
Diploneis stroemi,Dipst01
Diploneis subovalis,Dipsu01
Diploneis tirolensis,Dipti01
Discostella stelligera,Disst01
Distrionella incognita,Disin01
Dorofeyukea kotschyi,Dorko01
Encyonema affine,Encaf01
Encyonema alpinum,Encal01
Encyonema auerswaldii,Encau01
Encyonema bonapartei,Encbo01
Encyonema brevicapitatum,Encbr01
Encyonema caespitosum,Encca01
Encyonema elginense,Encel01
Encyonema fogedii,Encfo01
Encyonema geisslerae,Encge01
Encyonema gracile,Encgr01
Encyonema hebridicum,Enche01
Encyonema incurvatum,Encin01
Encyonema lancettulum,Encla01
Encyonema lunatum,Enclu01
Encyonema menisculus,Encme01
Encyonema microrobustum,Encmi01
Encyonema minutiforme,Encmi02
Encyonema neogracile,Encne01
Encyonema neomesianum,Encne02
Encyonema norvegicum,Encno01
Encyonema obscurum,Encob01
Encyonema pankowii,Encpa01
Encyonema perminutum,Encpe01
Encyonema procerum,Encpr01
Encyonema prostratrum,Encpr02
Encyonema rostratum,Encro01
Encyonema silesiacum,Encsi01
Encyonema simile,Encsi02
Encyonema subminutum,Encsu01
Encyonema supergracile,Encsu02
Encyonema vulgare,Encvu01
Encyonopsis aequalis,Encae01
Encyonopsis alpina,Encal02
Encyonopsis blanchensis,Encbl01
Encyonopsis cesatii,Encce01
Encyonopsis falaisensis,Encfa01
Encyonopsis fonticola,Encfo02
Encyonopsis horticola,Encho01
Encyonopsis hustedtii,Enchu01
Encyonopsis krammeri,Enckr01
Encyonopsis krasskei,Enckr02
Encyonopsis lanceola,Encla02
Encyonopsis microcephala,Encmi03
Encyonopsis minuta,Encmi04
Encyonopsis muscicola,Encmu01
Encyonopsis neoamphioxys,Encne03
Encyonopsis recta,Encre01
Encyonopsis reichardtii,Encre02
Encyonopsis robusta,Encro02
Encyonopsis speciosa,Encsp01
Encyonopsis subminuta,Encsu03
Encyonopsis symmetrica,Encsy01
Encyonopsis tavirana,Encta01
Encyonopsis thumensis,Encth01
Encyonopsis vandamii,Encva01
Entomoneis ornata,Entor01
Entomoneis paludosa,Entpa01
Eolimna archibaldii,Eolar01
Eolimna becaresii,Eolbe01
Eolimna chistiakovae,Eolch01
Eolimna comperei,Eolco01
Eolimna crassulexigua,Eolcr01
Eolimna inconspicua,Eolin01
Eolimna rhombelliptica,Eolrh01
Epithemia frickei,Epifr01
Epithemia goeppertiana,Epigo01
Epithemia intermedia,Epiin01
Epithemia operculata,Epiop01
Epithemia parallela,Epipa01
Epithemia reicheltii,Epire01
Epithemia rupestris,Epiru01
Epithemia smithii,Epism01
Epithemia sorex,Episo01
Epithemia turgida,Epitu01
Ethmodiscus punctiger,Ethpu01
Eucocconeis alpestris,Eucal01
Eucocconeis austriaca,Eucau01
Eucocconeis diluviana,Eucdi01
Eucocconeis laevis,Eucla01
Eunotia ambivalens,Eunam01
Eunotia arcubus,Eunar01
Eunotia arculus,Eunar02
Eunotia arcus,Eunar03
Eunotia argus,Eunar04
Eunotia auriculata,Eunau01
Eunotia bertrandii,Eunbe01
Eunotia biconstricta,Eunbi01
Eunotia bidens,Eunbi02
Eunotia bidentula,Eunbi03
Eunotia bigibba,Eunbi04
Eunotia bilunaris,Eunbi05
Eunotia boreoalpina,Eunbo01
Eunotia boreotenuis,Eunbo02
Eunotia botuliformis,Eunbo03
Eunotia chelonia,Eunch01
Eunotia circumborealis,Eunci01
Eunotia cisalpina,Eunci02
Eunotia cistula,Eunci03
Eunotia curtagrunowii,Euncu01
Eunotia denticulata,Eunde01
Eunotia diadema,Eundi01
Eunotia diodon,Eundi02
Eunotia dorofeyukiae,Eundo01
Eunotia elegans,Eunel01
Eunotia enigmatica,Eunen01
Eunotia fallax,Eunfa01
Eunotia flexuosa,Eunfl01
Eunotia formica,Eunfo01
Eunotia formicina,Eunfo02
Eunotia genuflexa,Eunge01
Eunotia gibbosa,Eungi01
Eunotia glacialis,Eungl01
Eunotia glacialispinosa,Eungl02
Eunotia granulata,Eungr01
Eunotia implicata,Eunim01
Eunotia incisa,Eunin01
Eunotia intermedia,Eunin02
Eunotia islandica,Eunis01
Eunotia kruegeri,Eunkr01
Eunotia lapponica,Eunla01
Eunotia meisteri,Eunme01
Eunotia meisterioides,Eunme02
Eunotia metamonodon,Eunme03
Eunotia microcephala,Eunmi01
Eunotia minutissima,Eunmi02
Eunotia monodon,Eunmo01
Eunotia muscicola,Eunmu01
Eunotia myrmica,Eunmy01
Eunotia naegelii,Eunna01
Eunotia neocaledonia,Eunne01
Eunotia neocompacta,Eunne02
Eunotia nymanniana,Eunny01
Eunotia ocellata,Eunoc01
Eunotia orthohedra,Eunor01
Eunotia palatina,Eunpa01
Eunotia paludosa,Eunpa02
Eunotia parallela,Eunpa03
Eunotia parapraerupta,Eunpa04
Eunotia paratridentula,Eunpa05
Eunotia pectinalis,Eunpe01
Eunotia perpusilla,Eunpe02
Eunotia pexii,Eunpe03
Eunotia praerupta,Eunpr01
Eunotia pseudogroenlandica,Eunps01
Eunotia pseudopaludosa,Eunps02
Eunotia rhomboidea,Eunrh01
Eunotia seminulum,Eunse01
Eunotia septentrionalis,Eunse02
